timestamp,PV (kWh),Load (kWh),price (cents/kWh)
01222011 15:00,1007.9807705,3488,118
01222011 16:00,573.621796,3684,132.5
01222011 17:00,386.7628215,4023,179.53
01222011 18:00,40.5448725,4007,187
01222011 19:00,0,3884,154.85
01222011 20:00,0,3742,145.43
01222011 21:00,0,3568,134
01222011 22:00,0,3336,121.52
01222011 23:00,0,3116,126.47
01232011 00:00,0,2944,127.26
01232011 01:00,0,2854,116.21
01232011 02:00,0,2814,109.31
01232011 03:00,0,2800,106.88
01232011 04:00,0,2825,110.73
01232011 05:00,0,2897,118.11
01232011 06:00,0,3055,110.43
01232011 07:00,3.1730765,3258,109.02
01232011 08:00,130.096153,3504,129.12
01232011 09:00,427.660255,3649,143.19
01232011 10:00,475.256408,3690,147.14
01232011 11:00,503.814102,3697,153.89
01232011 12:00,726.6346175,3669,150.32
01232011 13:00,1137.724357,3635,147.11
01232011 14:00,1615.4487195,3631,140.68
01232011 15:00,1167.339745,3641,145.45
01232011 16:00,825.3525665,3874,164.21
01232011 17:00,305.6730765,4263,205.34
01232011 18:00,27.5,4267,199.49
01232011 19:00,0,4151,176.85
01232011 20:00,0,3993,189.14
01232011 21:00,0,3756,171.48
01232011 22:00,0,3499,151.57
01232011 23:00,0,3278,150.62
01242011 00:00,0,3123,137.88
01242011 01:00,0,3082,134.21
01242011 02:00,0,3064,130.24
01242011 03:00,0,3095,129.24
01242011 04:00,0,3201,130.17
01242011 05:00,0,3485,140.25
01242011 06:00,0,3984,170.87
01242011 07:00,19.3910255,4208,186.34
01242011 08:00,377.243592,4233,188.25
01242011 09:00,2531.410255,4233,196.5
01242011 10:00,2405.192306,4244,190.13
01242011 11:00,2826.8589745,4242,186.52
01242011 12:00,2478.1730765,4191,183
01242011 13:00,2008.910255,4147,183
01242011 14:00,3659.6153825,4063,169.99
01242011 15:00,1211.057694,4045,181.87
01242011 16:00,458.3333315,4197,191.99
01242011 17:00,127.9807705,4568,257
01242011 18:00,16.217949,4565,245.82
01242011 19:00,0,4459,216.61
01242011 20:00,0,4275,195.32
01242011 21:00,0,3995,172.78
01242011 22:00,0,3661,156.08
01242011 23:00,0,3364,153
01252011 00:00,0,3190,112.99
01252011 01:00,0,3107,100.4
01252011 02:00,0,3075,96.02
01252011 03:00,0,3073,98.53
01252011 04:00,0,3161,99.11
01252011 05:00,0,3439,110
01252011 06:00,0,3885,146.33
01252011 07:00,25.3846175,4088,168.64
01252011 08:00,423.4294845,4108,167.25
01252011 09:00,2629.0705155,4125,169.42
01252011 10:00,3914.5192295,4144,159.99
01252011 11:00,3872.564102,4135,146
01252011 12:00,3376.506408,4077,139.72
01252011 13:00,3403.3012805,4040,125.71
01252011 14:00,1809.3589745,3979,124.64
01252011 15:00,1224.807694,3940,134.85
01252011 16:00,669.1666685,4067,148.25
01252011 17:00,275.7051275,4388,181.03
01252011 18:00,20.8012805,4422,180.52
01252011 19:00,0,4321,168.02
01252011 20:00,0,4143,151.34
01252011 21:00,0,3874,139
01252011 22:00,0,3539,98.63
01252011 23:00,0,3262,100.63
01262011 00:00,0,3101,49.39
01262011 01:00,0,3012,45.93
01262011 02:00,0,2968,44.38
01262011 03:00,0,2979,49.19
